x1,x2,y
0.856,3.711,6.401
2.368,2.653,5.642
8.013,3.726,16.201
5.822,2.666,12.421
0.941,8.341,-8.397
4.331,1.478,7.571
4.791,2.079,7.189
1.597,7.141,-8.081
7.346,3.979,15.413
1.137,3.413,5.051
3.912,9.745,-3.91
5.167,8.938,25.417
4.306,2.189,3.996
5.868,1.553,15.391
7.378,4.924,15.314
9.563,5.741,24.903
2.842,3.467,1.295
6.485,5.914,19.01
6.962,6.782,23.42
2.927,8.146,-8.27
0.015,2.422,5.505
9.735,6.451,26.432
2.984,0.581,5.526
3.14,0.648,4.261
8.917,0.554,15.141
5.852,1.164,17.335
4.713,7.818,-6.458
7.733,3.709,16.845
0.303,4.928,6.415
7.07,4.509,15.523
3.742,2.071,7.904
0.909,0.458,3.564
6.605,1.818,16.885
9.315,8.583,23.142
2.072,3.386,3.466
6.301,4.205,12.881
2.982,2.644,5.892
7.418,7.412,23.12
7.222,7.024,25.104
2.187,3.838,2.727
8.299,5.064,27.133
6.577,3.958,18.672
6.828,5.733,25.452
8.201,5.936,28.287
4.286,5.774,-3.879
7.587,9.016,29.339
8.785,9.502,25.199
1.023,0.514,1.859
8.498,3.797,17.981
3.939,0.403,4.747
4.797,3.747,2.928
1.463,8.031,-6.313
6.984,6.795,21.747
2.92,5.673,-5.335
8.711,0.863,12.857
2.754,8.114,-2.032
5.618,6.124,26.329
3.997,3.026,1.679
6.129,7.853,21.981
1.966,0.391,3.866
1.803,1.875,1.15
7.469,7.891,24.78
7.522,0.459,14.913
5.67,1.321,13.454
9.211,5.016,23.907
2.058,7.101,-4.002
8.509,5.893,27.843
1.69,0.369,7.991
9.644,2.748,15.069
6.237,7.062,26.712
6.069,3.484,13.523
9.706,1.942,15.824
7.87,0.023,13.081
7.899,2.627,16.459
0.541,9.308,-7.477
3.693,0.495,3.07
0.849,5.531,-5.017
1.935,9.097,-3.886
2.139,7.006,-7.876
8.586,2.81,13.927
1.268,6.486,-4.73
2.968,1.194,5.458
4.928,4.989,3.322
8.495,2.632,15.194
9.652,8.757,24.466
7.081,8.66,27.808
2.137,7.618,-3.886
5.45,3.756,12.352
7.06,7.969,20.597
0.519,9.799,-4.8
6.799,3.694,17.364
3.683,5.252,-4.653
5.897,1.624,16.764
6.695,1.083,14.031
6.691,7.201,22.272
5.23,0.603,16.497
5.547,6.014,25.198
1.981,1.136,6.367
4.952,6.69,-7.763
1.254,7.535,-4.637
4.807,9.409,-6.251
5.362,3.899,16.613
7.741,3.895,13.839
3.937,3.996,3.785
0.196,7.058,-6.171
5.277,7.877,27.527
2.052,1.157,5.058
7.413,3.248,13.48
3.887,0.552,2.955
3.805,2.349,2.912
9.095,7.337,27.925
3.93,9.368,-8.63
3.489,9.803,-6.701
3.48,0.682,6.276
4.808,4.019,7.357
0.933,8.724,-5.297
5.467,5.048,26.571
9.214,3.495,16.519
5.629,7.824,26.972
7.439,8.643,25.093
9.471,1.459,18.31
8.421,5.172,25.432
7.44,1.472,18.096
8.132,1.802,12.834
8.201,5.307,26.921
2.538,2.528,2.53
4.82,8.05,-7.951
3.427,3.654,6.051
2.617,1.813,3.401
5.716,6.292,25.954
3.179,2.62,2.921
6.187,0.664,18.281
5.824,9.991,25.091
1.044,1.843,2.811
4.424,1.313,5.431
3.899,4.806,6.848
7.067,0.04,13.546
0.881,7.893,-3.877
1.69,0.752,9.187
5.126,0.395,16.831
4.046,9.66,-4.922
6.653,5.167,23.961
3.329,9.288,-3.742
1.972,8.971,-7.929
9.318,7.34,19.027
2.439,0.297,3.773
1.471,6.438,-7.057
2.799,0.65,8.6
3.397,0.107,5.392
2.251,8.444,-6.857
5.363,3.068,12.79
9.369,7.472,26.116
1.26,5.298,-6.542
4.152,7.841,-6.045
6.682,6.398,24.939
8.847,9.728,25.301
9.998,4.748,15.321
1.436,8.532,-4.641
5.373,8.218,27.736
8.812,5.867,28.537
0.53,5.063,-8.17
5.883,4.302,20.293
1.739,6.46,-4.602
7.678,1.958,17.63
9.376,4.392,13.664
5.383,6.471,25.795
0.09,3.074,5.575
0.643,2.167,5.372
4.157,1.063,6.851
8.473,8.045,26.411
2.368,8.757,-6.863
6.691,8.34,24.913
4.053,7.065,-3.393
2.652,6.046,-3.476
7.039,0.579,14.478
3.083,8.807,-5.411
3.719,4.735,4.843
7.653,6.866,22.942
4.952,1.211,2.576
7.839,7.458,28.289
5.163,1.469,14.36
